id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1502446677629698048,1502446677629698048,2022-03-11 19:49:36 Eastern Standard Time,2022-03-11,19:49:36,-0400,2868353169,generalbrnovich,Mark Brnovich,,This is just the latest in my effort to protect Arizona’s elections. I am urging the AZ Supreme Court to require our Secretary of State to produce a lawful Election Procedures Manual for 2022.   https://t.co/iFQvtgZbPq,en,[],['https://www.azag.gov/press-release/attorney-general-brnovich-fights-protect-arizonas-elections'],[],229,79,341,[],[],https://twitter.com/GeneralBrnovich/status/1502446677629698048,False,,0,,,,,,,,[],,,,
1501993285497278470,1501993285497278470,2022-03-10 13:47:59 Eastern Standard Time,2022-03-10,13:47:59,-0400,2868353169,generalbrnovich,Mark Brnovich,,Protecting consumers will always be a top priority for this office.  This case resulted in $1.4 million in restitution and penalties for a company that promised services they never delivered.   https://t.co/975fO5fozh,en,[],['https://www.azfamily.com/2022/03/10/arizona-man-accused-online-business-scam-pay-14m/'],[],40,4,20,[],[],https://twitter.com/GeneralBrnovich/status/1501993285497278470,False,,0,,,,,,,,[],,,,
1501686219545227271,1501686219545227271,2022-03-09 17:27:49 Eastern Standard Time,2022-03-09,17:27:49,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Arizona consumers targeted by a predatory lender will soon get refunds. Pending court approval, CashCall, Inc. will pay nearly $5 million in restitution for funding and collecting payment on illegal loans. #NCPW2022   https://t.co/UADOyOXBo0  https://t.co/DlNFX4DBGl",en,[],['https://bit.ly/3MCPuer'],['https://pbs.twimg.com/media/FNcPS-bXIAQSKQn.jpg'],14,1,15,['ncpw2022'],[],https://twitter.com/GeneralBrnovich/status/1501686219545227271,False,,1,https://pbs.twimg.com/media/FNcPS-bXIAQSKQn.jpg,,,,,,,[],,,,
1501316730265780227,1501316730265780227,2022-03-08 16:59:36 Eastern Standard Time,2022-03-08,16:59:36,-0400,2868353169,generalbrnovich,Mark Brnovich,,Social media has become one of the more prevalent ways for scammers to reach consumers. The AGO has seen the following types of scams on social media.  Tips on how to protect yourself here:  https://t.co/lMEWQjKnZD #NCPW2022  https://t.co/rzjWN2uJvP,en,[],['https://bit.ly/3pNLUVi'],[],19,4,10,['ncpw2022'],[],https://twitter.com/GeneralBrnovich/status/1501316730265780227,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1501316415831347211/pu/img/RRlvKnHVM7agHSSv.jpg,,,,,,,[],,,,
1501008104355475456,1501008104355475456,2022-03-07 20:33:14 Eastern Standard Time,2022-03-07,20:33:14,-0400,2868353169,generalbrnovich,Mark Brnovich,,"In 2021, the AGO processed nearly 14,000 written complaints, took 40,000 phone calls, and reviewed more than 22,000 emails. Here’s a look at the top five consumer complaints our office received last year: #NCPW2022   https://t.co/OJLYNd5sG4",en,[],['https://www.youtube.com/watch?v=y3EVqV-dAsQ'],[],39,6,12,['ncpw2022'],[],https://twitter.com/GeneralBrnovich/status/1501008104355475456,False,,0,,,,,,,,[],,,,
1500909998045642765,1500909998045642765,2022-03-07 14:03:23 Eastern Standard Time,2022-03-07,14:03:23,-0400,2868353169,generalbrnovich,Mark Brnovich,,"We’re kicking off Consumer Protection Week today. All week, we’ll be sending out consumer tips and information so Arizonans can protect themselves and their money.  #NCPW2022  https://t.co/eme11il6eB",en,[],[],[],22,1,8,['ncpw2022'],[],https://twitter.com/GeneralBrnovich/status/1500909998045642765,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1500909766033477634/pu/img/-I0RkcJMAw2HWwXx.jpg,,,,,,,[],,,,
1500878845704118274,1500878845704118274,2022-03-07 11:59:36 Eastern Standard Time,2022-03-07,11:59:36,-0400,2868353169,generalbrnovich,Mark Brnovich,,The biggest antitrust violation in history may be in plain sight. Wall Street is bragging about their coordinated efforts to choke off investment in energy.  That’s why I’ve launched an investigation into this potentially unlawful market manipulation.  https://t.co/XAAXd7iDKM,en,[],['https://www.wsj.com/articles/esg-may-be-an-antitrust-violation-climate-activism-energy-prices-401k-retirement-investment-political-agenda-coordinated-influence-11646594807?mod=opinion_lead_pos6'],[],67,191,407,[],[],https://twitter.com/GeneralBrnovich/status/1500878845704118274,False,,0,,,,,,,,[],,,,
1499422096396537863,1499422096396537863,2022-03-03 11:31:00 Eastern Standard Time,2022-03-03,11:31:00,-0400,2868353169,generalbrnovich,Mark Brnovich,,A big win to protect life today! SCOTUS just decided the first of three cases in favor of the states and the right to protect life.  I congratulate @kyoag Daniel Cameron and am proud to lead the state amicus supporting this important case.  https://t.co/hJBrRdkJ2k,en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",['https://thehill.com/policy/healthcare/596700-supreme-court-says-kentucky-ag-can-defend-states-abortion-law'],[],18,8,43,[],[],https://twitter.com/GeneralBrnovich/status/1499422096396537863,False,,0,,,,,,,,[],,,,
1499155045610254339,1499155045610254339,2022-03-02 17:49:50 Eastern Standard Time,2022-03-02,17:49:50,-0400,2868353169,generalbrnovich,Mark Brnovich,,Our office led a coalition of 27 states urging the U.S. Supreme Court to reverse a Ninth Circuit Court ruling that failed to uphold the constitutional rights of a high school coach who was punished for praying alone on a football field in view of students.  https://t.co/crNyJ6FpvZ,en,[],['https://www.azag.gov/press-release/arizona-attorney-general-mark-brnovich-urges-us-supreme-court-uphold-first-amendment'],[],18,17,59,[],[],https://twitter.com/GeneralBrnovich/status/1499155045610254339,False,,0,,,,,,,,[],,,,
1499058587397668868,1499058587397668868,2022-03-02 11:26:33 Eastern Standard Time,2022-03-02,11:26:33,-0400,2868353169,generalbrnovich,Mark Brnovich,,Our office joined a coalition of 25 states in opposition to President Biden’s proposed rule to the Pipeline and Hazardous Materials Safety Administration that would prohibit liquefied natural gas from being transported by rail car in the United States.  https://t.co/MkiWJ6UQj7,en,[],['https://www.azag.gov/press-release/ag-brnovich-joins-25-state-coalition-against-bidens-continued-attack-american-energy'],[],30,4,31,[],[],https://twitter.com/GeneralBrnovich/status/1499058587397668868,False,,0,,,,,,,,[],,,,
1498794967111585794,1498794967111585794,2022-03-01 17:59:01 Eastern Standard Time,2022-03-01,17:59:01,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Thank you to @Heritage and @DailySignal for covering our argument last week at the U.S. Supreme Court, where we fought to uphold Arizona's right to defend the Public Charge Rule.  https://t.co/3S673kATIP",en,"[{'screen_name': 'heritage', 'name': 'heritage foundation', 'id': '10168082'}, {'screen_name': 'dailysignal', 'name': 'the daily signal', 'id': '2361224263'}]",['https://www.dailysignal.com/2022/02/24/arizona-ag-mark-brnovich-fights-for-trumps-immigration-rule-at-supreme-court/'],[],17,6,26,[],[],https://twitter.com/GeneralBrnovich/status/1498794967111585794,False,,0,,,,,,,,[],,,,
1498428191584800772,1498428191584800772,2022-02-28 17:41:34 Eastern Standard Time,2022-02-28,17:41:34,-0400,2868353169,generalbrnovich,Mark Brnovich,,Looking forward to joining @FoxBusiness tonight to talk about the national security threat from our severely porous southern border and how our office is working to hold the Biden Administration accountable to the rule of law.  Watch at 4:50.,en,"[{'screen_name': 'foxbusiness', 'name': 'fox business', 'id': '56413858'}]",[],[],47,2,17,[],[],https://twitter.com/GeneralBrnovich/status/1498428191584800772,False,https://twitter.com/BrianBrenberg/status/1498421359541633027,0,,,,,,,,[],,,,
1498371040904298497,1498371040904298497,2022-02-28 13:54:29 Eastern Standard Time,2022-02-28,13:54:29,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Our office defended Arizona's right to uphold the Public Charge Rule at SCOTUS, and we look forward to the Court's verdict later this year.  We will always go on offense to protect AZ taxpayers from the unprecedented overreach of the federal government.  https://t.co/P6ag4QmFxH",en,[],['https://www.foxnews.com/politics/scotus-hears-gop-push-defend-trump-era-public-charge-rule'],[],37,9,36,[],[],https://twitter.com/GeneralBrnovich/status/1498371040904298497,False,,0,,,,,,,,[],,,,
1498007374564511744,1498007374564511744,2022-02-27 13:49:24 Eastern Standard Time,2022-02-27,13:49:24,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Last week, our office announced that the $26 billion opioid agreement with three major pharmaceutical distributors and a manufacturer for their roles in the opioid crisis is moving forward and will be finalized.  https://t.co/W8ozeYO3kC",en,[],['https://ktar.com/story/4911945/arizona-to-receive-542m-from-jj-drug-distributors-in-milestone-opioid-settlement/'],[],18,9,28,[],[],https://twitter.com/GeneralBrnovich/status/1498007374564511744,False,,0,,,,,,,,[],,,,
1497245454085599233,1497245454085599233,2022-02-25 11:21:48 Eastern Standard Time,2022-02-25,11:21:48,-0400,2868353169,generalbrnovich,Mark Brnovich,,"We are pleased with today’s ruling because Arizona’s laws are not merely suggestions. Now more than ever, we need our election officials to avoid playing political games. Everyone deserves to have confidence in our electoral process.  https://t.co/B0LhtmveCk",en,[],['https://bit.ly/3M49hDy'],[],85,26,153,[],[],https://twitter.com/GeneralBrnovich/status/1497245454085599233,False,,0,,,,,,,,[],,,,
1496934218559066123,1496934218559066123,2022-02-24 14:45:04 Eastern Standard Time,2022-02-24,14:45:04,-0400,2868353169,generalbrnovich,Mark Brnovich,,Thanks to @FreedomWorks for allowing me to share how our office is leading the charge in this country to defend freedom and the rule of law.,en,"[{'screen_name': 'freedomworks', 'name': 'freedomworks', 'id': '14730894'}]",[],[],39,13,39,[],[],https://twitter.com/GeneralBrnovich/status/1496934218559066123,False,https://twitter.com/FreedomWorks/status/1496891183041232905,0,,,,,,,,[],,,,
1496600593422561281,1496600593422561281,2022-02-23 16:39:21 Eastern Standard Time,2022-02-23,16:39:21,-0400,2868353169,generalbrnovich,Mark Brnovich,,TUNE IN: I'm about to join @VinceCoglianese on the air to talk about my recently completed arguments at the U.S. Supreme Court to defend the Public Charge Rule.   Listen at 5 PM EST on @WMALDC or online:  https://t.co/pcDazFkgtY,en,"[{'screen_name': 'vincecoglianese', 'name': 'vince coglianese', 'id': '69022849'}, {'screen_name': 'wmaldc', 'name': 'wmal dc', 'id': '16509580'}]",['https://www.wmal.com/'],[],25,3,9,[],[],https://twitter.com/GeneralBrnovich/status/1496600593422561281,False,,0,,,,,,,,[],,,,
1496557128504557576,1496557128504557576,2022-02-23 13:46:38 Eastern Standard Time,2022-02-23,13:46:38,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Proud to have argued before SCOTUS today on such an important case defending our Public Charge Rule. The United States is indeed the land of the free and of industrious immigrants, but it is not a welfare state. Read more here:  https://t.co/45INtdC8a3",en,[],['https://bit.ly/3vaSAAd'],[],33,13,54,[],[],https://twitter.com/GeneralBrnovich/status/1496557128504557576,False,,0,,,,,,,,[],,,,
1496494146370125832,1496494146370125832,2022-02-23 09:36:22 Eastern Standard Time,2022-02-23,09:36:22,-0400,2868353169,generalbrnovich,Mark Brnovich,,We appreciate your thoughts and prayers as the time approaches for the arguments at the U.S. Supreme Court.  Let's hope the rule of law wins out today.  https://t.co/zFXxj3n1Sa,en,[],[],[],58,25,108,[],[],https://twitter.com/GeneralBrnovich/status/1496494146370125832,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1496494026920546306/pu/img/NDmO7bVRHstccRqv.jpg,,,,,,,[],,,,
1496485799822516227,1496485799822516227,2022-02-23 09:03:12 Eastern Standard Time,2022-02-23,09:03:12,-0400,2868353169,generalbrnovich,Mark Brnovich,,Climbing SCOTUS steps now to defend the Public Charge Rule after the Biden administration abandoned it. Listen to my arguments at:  https://t.co/W3jITMEBbR,en,[],['https://www.supremecourt.gov/oral_arguments/live.aspx'],[],61,21,100,[],[],https://twitter.com/GeneralBrnovich/status/1496485799822516227,False,,0,,,,,,,,[],,,,
1496327809479946241,1496327809479946241,2022-02-22 22:35:24 Eastern Standard Time,2022-02-22,22:35:24,-0400,2868353169,generalbrnovich,Mark Brnovich,,"As a first-generation American, I am both humbled and proud that I have had the privilege to argue such important cases at our nation's highest court.   Only in America could this become a reality.  https://t.co/g55BPGGBHE",en,[],[],['https://pbs.twimg.com/media/FMQGNg4WYAMAJYX.jpg'],60,22,111,[],[],https://twitter.com/GeneralBrnovich/status/1496327809479946241,False,,1,https://pbs.twimg.com/media/FMQGNg4WYAMAJYX.jpg,,,,,,,[],,,,
1496281259861020673,1496281259861020673,2022-02-22 19:30:26 Eastern Standard Time,2022-02-22,19:30:26,-0400,2868353169,generalbrnovich,Mark Brnovich,,PUBLIC CHARGE RULE: We believe we are right on the law and right on the policy.   Ready for the U.S. Supreme Court tomorrow morning.  https://t.co/jgC1ZWyAhs,en,[],['https://www.foxnews.com/politics/arizona-ag-gears-scotus-fight-biden-admin-trump-era-rule-immigrants-and-welfare.amp'],[],17,12,27,[],[],https://twitter.com/GeneralBrnovich/status/1496281259861020673,False,,0,,,,,,,,[],,,,
1496229237707128832,1496229237707128832,2022-02-22 16:03:43 Eastern Standard Time,2022-02-22,16:03:43,-0400,2868353169,generalbrnovich,Mark Brnovich,,"Tomorrow, I will be arguing before the U.S. Supreme Court for the third time as Arizona's Attorney General.  We will always stand for the rule of law and fight for hard-working taxpayers.  https://t.co/4Gu72qPLwG",en,[],['https://www.washingtonexaminer.com/opinion/washington-secrets/free-welfare-for-illegal-immigrants-faces-big-court-test'],[],38,23,85,[],[],https://twitter.com/GeneralBrnovich/status/1496229237707128832,False,,0,,,,,,,,[],,,,
1496157356157292551,1496157356157292551,2022-02-22 11:18:05 Eastern Standard Time,2022-02-22,11:18:05,-0400,2868353169,generalbrnovich,Mark Brnovich,,"When other federal officials won't defend the law, I will.  That's why our office has fought to defend the Public Charge Rule all the way to the U.S. Supreme Court. We look forward to making our case tomorrow morning.  https://t.co/OxMNnEZMFw",en,[],['https://m.washingtontimes.com/news/2022/feb/21/dhs-eyes-more-welfare-legal-immigrants-supreme-cou/'],[],86,27,75,[],[],https://twitter.com/GeneralBrnovich/status/1496157356157292551,False,,0,,,,,,,,[],,,,
1495886986028146688,1495886986028146688,2022-02-21 17:23:44 Eastern Standard Time,2022-02-21,17:23:44,-0400,2868353169,generalbrnovich,Mark Brnovich,,Looking forward to returning to our Nation's Highest Court on Wednesday to uphold Arizona's right to defend the Public Charge Rule.  https://t.co/eid3iwtNEa,en,[],[],['https://pbs.twimg.com/media/FMJ1SH2XEAUouq_.jpg'],47,15,57,[],[],https://twitter.com/GeneralBrnovich/status/1495886986028146688,False,,1,https://pbs.twimg.com/media/FMJ1SH2XEAUouq_.jpg,,,,,,,[],,,,
1495812750064652290,1495812750064652290,2022-02-21 12:28:45 Eastern Standard Time,2022-02-21,12:28:45,-0400,2868353169,generalbrnovich,Mark Brnovich,,Happy Presidents' Day! May America always be inspired by her greatest leaders.  https://t.co/D1Is79GMhn,en,[],[],['https://pbs.twimg.com/media/FMIxxJnUYAIZDae.jpg'],57,19,74,[],[],https://twitter.com/GeneralBrnovich/status/1495812750064652290,False,,1,https://pbs.twimg.com/media/FMIxxJnUYAIZDae.jpg,,,,,,,[],,,,
1495558585295589376,1495558585295589376,2022-02-20 19:38:47 Eastern Standard Time,2022-02-20,19:38:47,-0400,2868353169,generalbrnovich,Mark Brnovich,,Border security is national security. Our office and our Constitution takes this very seriously.  https://t.co/FUKBjbUseT,en,[],['https://www.foxnews.com/politics/conservative-groups-urge-border-states-action-migrant'],[],49,19,72,[],[],https://twitter.com/GeneralBrnovich/status/1495558585295589376,False,,0,,,,,,,,[],,,,
1495502205830545413,1495502205830545413,2022-02-20 15:54:45 Eastern Standard Time,2022-02-20,15:54:45,-0400,2868353169,generalbrnovich,Mark Brnovich,,"The Constitution, the rule of law, and the sovereignty of our states are too important for us ever to relinquish.  That's why attorneys general in this country are fighting so hard against the unprecedented federal overreach by the Biden Administration.  https://t.co/RTxvMDAf9y",en,[],['https://www.washingtonexaminer.com/restoring-america/fairness-justice/state-attorneys-general-are-reining-in-a-lawless-biden-administration'],[],57,26,81,[],[],https://twitter.com/GeneralBrnovich/status/1495502205830545413,False,,0,,,,,,,,[],,,,
1495429153079762944,1495429153079762944,2022-02-20 11:04:28 Eastern Standard Time,2022-02-20,11:04:28,-0400,2868353169,generalbrnovich,Mark Brnovich,,COMING UP: I'll be joining @ArthelNeville to preview our upcoming arguments at the U.S. Supreme Court this week to uphold Arizona's right to defend the Public Charge Rule.  Watch @FoxNews at 10:40.,en,"[{'screen_name': 'arthelneville', 'name': 'arthel neville', 'id': '343432210'}, {'screen_name': 'foxnews', 'name': 'fox news', 'id': '1367531'}]",[],[],73,11,38,[],[],https://twitter.com/GeneralBrnovich/status/1495429153079762944,False,,0,,,,,,,,[],,,,
1495183282828300290,1495183282828300290,2022-02-19 18:47:28 Eastern Standard Time,2022-02-19,18:47:28,-0400,2868353169,generalbrnovich,Mark Brnovich,,Our office looks forward to upholding Arizona's right to defend the Public Charge Rule at the U.S. Supreme Court next week. We will always fight on behalf of Arizona taxpayers.  https://t.co/G0br5aOTbO,en,[],['https://www.reuters.com/world/us/us-supreme-court-consider-allowing-republican-bid-defend-trump-era-immigration-2021-10-29/'],[],98,20,121,[],[],https://twitter.com/GeneralBrnovich/status/1495183282828300290,False,,0,,,,,,,,[],,,,
